year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2015,2,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1225,258,70.19,7.58,98.27,0.63,81.33,95,4,20062,5883,708,5852,15,7604
2015,2,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2385,519,141.09,45.29,198.78,1.58,132.25,82,7,40564,15399,3997,8179,154,12835
2015,2,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11197,1857,459.67,93.82,686.11,2.1,615.3,914,15,136489,45816,10408,30432,60,49773
2015,2,AA,American Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",90,24,13.9,1.2,5.07,1,2.82,2,0,1757,885,259,359,62,192
2015,2,AA,American Airlines Inc.,HNL,"Honolulu, HI: Honolulu International",157,41,13.4,1.1,17.18,0,9.32,3,0,4673,1047,316,658,0,2652
2015,2,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",789,206,60.01,18.95,96.5,0,30.53,38,0,12411,4135,1240,4800,0,2236
2015,2,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",358,58,28.22,3.9,16.49,0,9.39,20,1,3763,1357,825,988,0,593
2015,2,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",769,209,43.91,20.04,106.68,0,38.37,111,0,12285,2478,1524,5689,0,2594
2015,2,AA,American Airlines Inc.,ONT,"Ontario, CA: Ontario International",104,15,6.05,0.98,4.43,0,3.53,9,0,899,460,36,203,0,200
2015,2,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",835,200,69.21,16.4,62.76,1,50.63,76,3,12218,4178,2147,2346,21,3526
2015,2,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",387,88,33.88,11.98,24.48,0,17.66,19,0,5747,1819,1239,1228,0,1461
2015,2,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",452,81,27.58,8.24,26.45,0.2,18.52,20,1,4628,1196,950,1252,7,1223
2015,2,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",252,54,22.33,1.75,21.24,0,8.68,15,0,2403,818,209,1005,0,371
2015,2,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",3906,812,223.42,54.36,337.37,1.29,195.56,110,16,48069,16438,4309,12110,62,15150
2015,2,AA,American Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",88,11,5.24,0.07,2.08,0,3.61,11,0,591,264,10,150,0,167
2015,2,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",363,46,13.15,5.39,15.49,0,11.97,28,1,2394,500,565,688,0,641
2015,2,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",3586,784,176.95,32.76,295.05,0,279.23,200,14,46915,12161,3834,10577,0,20343
2015,2,AA,American Airlines Inc.,RSW,"Fort Myers, FL: Southwest Florida International",197,51,18.05,6.44,12.83,0,13.68,9,0,2612,705,486,666,0,755
2015,2,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",191,41,16.47,2.39,12.54,0,9.6,10,3,2191,791,174,398,0,828
2015,2,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",442,116,31.53,11.34,50.62,0,22.51,19,1,5783,1303,1267,2058,0,1155
2015,2,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",823,184,85.32,13.71,45.58,0,39.39,31,0,10467,5187,955,2124,0,2201
2015,2,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",332,74,28.41,10.68,18.91,0.94,15.05,18,0,3702,1651,666,633,17,735
2015,2,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",221,40,15.79,0.9,13.81,0,9.51,11,1,2794,1323,230,493,0,748
2015,2,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",787,150,43.66,17.63,51.68,0,37.03,28,0,8261,2201,1402,2267,0,2391
2015,2,AA,American Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",145,22,7.77,3.7,4.76,0,5.77,10,0,1639,420,304,439,0,476
2015,2,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",160,37,16.41,0.91,8.82,0,10.86,10,0,2208,728,178,640,0,662
2015,2,AA,American Airlines Inc.,KOA,"Kona, HI: Kona International Airport at Keahole",31,4,0.17,0,2.59,0,1.24,1,0,113,4,0,71,0,38
2015,2,AA,American Airlines Inc.,SJU,"San Juan, PR: Luis Munoz Marin International",329,74,39.05,7.18,14.01,0,13.76,4,0,4439,2188,765,616,0,870
2015,2,AA,American Airlines Inc.,HOU,"Houston, TX: William P Hobby",56,8,4.69,0.88,2.02,0,0.4,4,1,544,302,98,119,0,25
2015,2,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",187,32,10.04,0.39,14.41,0.95,6.21,8,1,1097,445,26,406,38,182
2015,2,AA,American Airlines Inc.,TUS,"Tucson, AZ: Tucson International",248,46,19.79,4.25,11.74,0.89,9.31,16,0,2927,1327,244,699,17,640
2015,2,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",464,102,38.57,3.57,24.81,0,35.05,13,0,4887,1587,315,915,0,2070
2015,2,AA,American Airlines Inc.,STL,"St. Louis, MO: Lambert-St. Louis International",388,88,33.42,6.88,25.12,0,22.59,22,1,4378,1636,532,1067,0,1143
2015,2,AA,American Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",404,68,29.74,3.82,19.7,0,14.73,31,0,4085,1300,726,1129,0,930
2015,2,AA,American Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",51,12,7.92,0,2.08,0,2,6,1,771,472,0,148,0,151
2015,2,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1088,286,75.29,30.17,129.44,1.68,49.43,97,12,12857,3691,1735,4547,51,2833
2015,2,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",270,41,18.37,2.22,11.64,0,8.77,39,1,1986,792,226,522,0,446
2015,2,AA,American Airlines Inc.,MFE,"Mission/McAllen/Edinburg, TX: McAllen Miller International",139,21,8.29,1.1,6.57,0,5.04,12,1,1066,485,52,228,0,301
